"FastElements","FastInsertionSort","RandomPermutation","40000","399430713","2412","0"
"FastElements","FastInsertionSort","RandomPermutation","50000","623265531","3916","0"
"FastElements","FastInsertionSort","RandomPermutation","60000","899494758","4241","0"
"FastElements","FastInsertionSort","RandomPermutation","70000","1223633796","7262","0"
"FastElements","FastInsertionSort","RandomPermutation","80000","1605963908","10343","0"
"FastElements","FastInsertionSort","RandomPermutation","90000","2025639812","10337","0"
"FastElements","FastInsertionSort","RandomPermutation","100000","2499986360","14298","0"
"FastElements","FastInsertionSort","RandomPermutation","110000","3022661798","18670","0"
"FastElements","FastInsertionSort","RandomPermutation","120000","3601898498","21907","0"
"FastElements","FastInsertionSort","RandomPermutation","130000","4225264103","25217","0"
"FastElements","FastInsertionSort","RandomPermutation","140000","4913775904","36846","0"
"FastElements","FastInsertionSort","RandomPermutation","150000","5619135367","36842","0"
"FastElements","FastInsertionSort","RandomPermutation","160000","6399209499","45111","0"
"FastElements","FastInsertionSort","RandomPermutation","170000","7230400309","51710","0"
"FastElements","FastInsertionSort","RandomPermutation","180000","8104140668","53635","0"
"FastElements","FastInsertionSort","RandomPermutation","190000","9027630438","71632","0"
"FastElements","FastInsertionSort","RandomPermutation","200000","9992226953","74169","0"
"FastElements","FastInsertionSort","ReversePermutation","40000","799980000","4184","0"
"FastElements","FastInsertionSort","ReversePermutation","50000","1249975000","6152","0"
"FastElements","FastInsertionSort","ReversePermutation","60000","1799970000","10447","0"
"FastElements","FastInsertionSort","ReversePermutation","70000","2449965000","14104","0"
"FastElements","FastInsertionSort","ReversePermutation","80000","3199960000","18771","0"
"FastElements","FastInsertionSort","ReversePermutation","90000","4049955000","24665","0"
"FastElements","FastInsertionSort","ReversePermutation","100000","4999950000","29581","0"
"FastElements","FastInsertionSort","ReversePermutation","110000","6049945000","35254","0"
"FastElements","FastInsertionSort","ReversePermutation","120000","7199940000","40839","0"
"FastElements","FastInsertionSort","ReversePermutation","130000","8449935000","51253","0"
"FastElements","FastInsertionSort","ReversePermutation","140000","9799930000","68469","0"
"FastElements","FastInsertionSort","ReversePermutation","150000","11249925000","82319","0"
"FastElements","FastInsertionSort","ReversePermutation","160000","12799920000","85399","0"
"FastElements","FastInsertionSort","ReversePermutation","170000","14449915000","101240","0"
"FastElements","FastInsertionSort","ReversePermutation","180000","16199910000","124770","0"
"FastElements","FastInsertionSort","ReversePermutation","190000","18049905000","117549","0"
"FastElements","FastInsertionSort","ReversePermutation","200000","19999900000","142981","0"
